question	answer	question_seg	question_seg_stop
在固定收益平台做哪些业务时需要为交易员配置操作账户？	确定报价和询价业务。	['在', '固定', '收益', '平台', '做', '哪些', '业务', '时', '需要', '为', '交易员', '配置', '操作', '账户']	 固定 收益 平台 做 业务 时 需要 交易员 配置 操作 账户
资金前端控制业务，新交易参与人系统上线后，可以查询哪些相关信息？	新交易参与人系统上线后，可实现准确实时数据（最高额度、自设额度、实际发生额度，控制状态）查询，联通圈、席位等信息查询。	['资金', '前端', '控制', '业务', '新', '交易', '参与人', '系统', '上线', '后', '可以', '查询', '哪些', '相关', '信息']	 资金 前端 控制 业务 新 交易 参与人 系统 上线 后 查询 相关 信息
债券的受托管理事务报告在新公司业务管理系统中通过什么方式进行披露，公告提交还是非公告上网？	债券的受托管理事务报告通过非公告上网方式进行披露。	['债券', '的', '受托', '管理', '事务', '报告', '在', '新', '公司', '业务', '管理系统', '中', '通过', '什么', '方式', '进行', '披露', '公告', '提交', '还是', '非公告', '上网']	 债券 受托 管理 事务 报告 新 公司 业务 管理系统 中 方式 进行 披露 公告 提交 非公告 上网
固定收益平台的协议交易申报和指定对手方报价申报约定号取值范围是多少？	固定收益平台的协议交易申报和指定对手方报价申报约定号应为100到999之间的整数。	['固定', '收益', '平台', '的', '协议', '交易', '申报', '和', '指定', '对手方', '报价', '申报', '约定号', '取值', '范围', '是', '多少']	 固定 收益 平台 协议 交易 申报 指定 对手方 报价 申报 约定号 取值 范围
董监高的证件信息填写错误应如何修改？	证件信息是标识董监高成员的唯一信息，若填写的证件信息出现错误，应新建一条董监高声明信息，原有的董监高信息在其卸任半年后可由公司删除。新建的董监高声明信息中需要准确录入董监高的沪市A股证券账户信息。如果该账户已经在原有错误的董监高信息中存在，需要先在该页面删除账户信息，然后在新建的董监高页面中再次录入。如果该证券账户错误地录入在其他董监高名下，也可照此办理。	['董监高', '的', '证件', '信息', '填写', '错误', '应', '如何', '修改']	 董监高 证件 信息 填写 错误 应 修改
全天候测试环境期权成交过户数据trns03XXXXX.txt如何获取？	期权成交过户数据trns03XXXXX.txt闭市后发送，只有实际进行账户相关过户操作时，才会产生其中的记录才会下发该文件。期权成交过户数据trns03XXXXX.txt在OGHXXXXX.ZIP里，可以使用EzTrans下载OGHXXXXX.ZIP。	['全天候', '测试环境', '期权', '成交', '过户', '数据', '如何', '获取']	 全天候 测试环境 期权 成交 过户 数据 获取
全天候环境期权平台报单返回17586“无效的结算会员”是什么原因？	一般是由于全天候测试环境期权的账户不存在，需要联系中登开立相关账户。	['全天候', '环境', '期权', '平台', '报单', '返回', '无效', '的', '结算', '会员', '是', '什么', '原因']	 全天候 环境 期权 平台 报单 返回 无效 结算 会员 原因
在网下IPO平台进行询价录入时，无法填写自愿锁定期，这种情况如何处理？	看一下询价公告，如公告中有“本次发行的股票无流通限制及锁定安排”，投资者可以不用填写锁定期。	['在', '网下', '平台', '进行', '询价', '录入', '时', '无法', '填写', '自愿', '锁定', '期', '这种', '情况', '如何', '处理']	 网下 平台 进行 询价 录入 时 无法 填写 自愿 锁定 期 这种 情况 处理
新公司业务管理系统提示“董监高数量异常，低于合理数量”，合理数量是多少？	在任董事不低于5名，在任监事不低于3名，在任高管数量不为0。	['新', '公司', '业务', '管理系统', '提示', '董监高', '数量', '异常', '低于', '合理', '数量', '合理', '数量', '是', '多少']	 新 公司 业务 管理系统 提示 董监高 数量 异常 低于 合理 数量 合理 数量
新公司业务管理系统中，如何修改或添加董监高声明信息中的证券账户信息？	系统会验证股东证券账户和开户证件号是否一致，并反馈给上市公司。董监高声明信息中增加证券账户时需填写开户时使用的证件号，并严格区分15位或18位的身份证号码。如果某证券账户已在其他在任董监高声明信息中填写过，请先删除其名下账户后，再在正确的董监高声明信息中添加。系统只要求申报沪市A股证券账户，即以A开头的证券账户号码，董监高若声明未开设沪市A股证券账户，请在账户栏明确填写“无”。	['新', '公司', '业务', '管理系统', '中', '如何', '修改', '或', '添加', '董监高', '声明', '信息', '中', '的', '证券', '账户', '信息']	 新 公司 业务 管理系统 中 修改 添加 董监高 声明 信息 中 证券 账户 信息
